id,unite,konu_alt_basligi,kazanım,soru_tipi,bloom,zorluk,gorsel_turu,veri_yapisi,on_bilgi,matematiksel_beceriler,baglam,kaynak_yil,dogru_cevap,image_path,kazanım_len,baglam_len,kazanım_kelime_sayisi,baglam_kelime_sayisi,kazanım_ort_kelime,baglam_ort_kelime,on_bilgi_sayisi,mat_beceri_sayisi,bloom_ordinal,gorsel_karmaşıklık,veri_yapisi_karmaşıklık
S01-2018-VeriAnalizi,Veri Analizi,Çizgi Grafiklerde Veri Karşılaştırma,Bir veri grubundaki değişimleri çizgi grafik üzerinde yorumlar.,Veri Yorumlama ve Karşılaştırma,Analiz,3,Çizgi Grafik,Çizgi Grafik → Sonuç Karşılaştırma,Toplama | Çıkarma | Grafik okuma | Karşılaştırma yapma,Veri analizi | Aritmetik işlem | Grafik yorumlama,İki firmanın yıllara göre gelir değişimleri,2018,C,images/veri_analizi_1.png,63,43,8,6,7.875,7.166666666666667,4,3,3,2,2
S02-2019-VeriAnalizi,Veri Analizi,Veri Tablosundan Çizgi Grafik Oluşturma,Veri tablosundaki sayısal bilgileri çizgi grafiğe aktarır ve grafiği yorumlar.,Veri Dönüştürme ve Yorumlama,Uygulama,3,Çizgi Grafik,Tablo (veri açıklaması) → Çizgi Grafik,Toplama | Çıkarma | Grafik okuma | Artış-azalış kavramı,Veri dönüştürme | Aritmetik işlem | Grafik oluşturma,Bir otobüs firmasının aylık yolcu sayısı değişimi,2019,A,images/veri_analizi_2.png,78,49,10,7,7.8,7.0,4,3,2,2,2
S03-2023-VeriAnalizi,Veri Analizi,Sütun Grafiğinde Veri Karşılaştırma,Sütun grafiğinde verilen verileri karşılaştırarak doğru ve yanlış ifadeleri belirler.,Veri Yorumlama ve Doğruluk Analizi,Analiz,4,Sütun Grafik,Sütun Grafik → Sözel Yorum,Toplama | Çıkarma | Karşılaştırma yapma | Grafik okuma,Veri analizi | Kıyaslama | Aritmetik işlem | Yorumlama,Bilgisayar markalarının aylara göre satış miktarları,2023,D,images/veri_analizi_3.png,85,52,10,6,8.5,8.666666666666666,4,4,3,2,2
S04-2018-VeriAnalizi,Veri Analizi,Sütun Grafik ve Yüzde Hesaplama,Sütun grafiğinde verilen verileri kullanarak oran ve yüzde hesaplamaları yapar.,Veri Yorumlama ve Oran Hesaplama,Uygulama,2,Sütun Grafik,Sütun Grafik → Oran/Yüzde Hesaplama,Yüzde hesaplama | Toplama | Oran-orantı | Grafik okuma,Aritmetik işlem | Oran-orantı | Yüzde bulma,Bir bahçedeki meyve ağaçlarının dağılımı,2018,B,images/veri_analizi_4.png,79,40,10,5,7.9,8.0,4,3,2,2,2
S05-2020-VeriAnalizi,Veri Analizi,Sütun Grafiğiyle Karşılaştırmalı Veri Analizi,Sütun grafiğinde birden fazla veri grubunu karşılaştırarak doğru ve yanlış çıkarımlar yapar.,Veri Yorumlama ve Doğruluk Analizi,Analiz,3,Sütun Grafik,Sütun Grafik → Sözel Yorumlama,Toplama | Çıkarma | Karşılaştırma yapma | Grafik okuma,Veri karşılaştırma | Aritmetik işlem | Mantıksal analiz,Bir okulda 8. sınıf şubelerindeki kız ve erkek öğrenci sayıları,2020,C,images/veri_analizi_5.png,92,63,12,10,7.666666666666667,6.3,4,3,3,2,2
S06-2019-VeriAnalizi,Veri Analizi,Sütun Grafik ve Oran Hesaplama,Sütun grafiğinde verilen verileri yorumlayarak oran ve kesirsel ilişkiler kurar.,Veri Yorumlama ve Oran/Kesir Hesaplama,Analiz,4,Sütun Grafik,Sütun Grafik → Oran Hesaplama,Toplama | Çıkarma | Oran-orantı | Kesir kavramı | Grafik okuma,Veri analizi | Oran hesaplama | Mantıksal ilişki kurma,Bir ildeki tahıl üretim miktarlarının karşılaştırılması,2019,A,images/veri_analizi_6.png,80,55,10,6,8.0,9.166666666666666,5,3,3,2,2
S07-2021-VeriAnalizi,Veri Analizi,Sütun Grafiğinde Tahmin ve Güncelleme,Sütun grafiğindeki verileri kullanarak olası yeni durumlara göre tahmin yapar ve grafiği yorumlar.,Veri Yorumlama ve Tahmin,Analiz,4,Sütun Grafik,Sütun Grafik → Güncellenmiş Veri Yorumlama,Toplama | Çıkarma | Oran-orantı | Grafik okuma,Veri analizi | Tahmin yürütme | Toplama-çıkarma işlemleri | Grafik yorumlama,Bir bilgisayar kursuna köylere göre katılım sayılarının değişimi,2021,A,images/veri_analizi_7.png,98,64,13,8,7.538461538461538,8.0,4,4,3,2,2
S08-2022-VeriAnalizi,Veri Analizi,Sütun Grafik ve Yüzde Dağılımı Yorumu,Sütun grafiğinde verilen yüzdelik dağılımları yorumlayarak doğru ve yanlış çıkarımlarda bulunur.,Yüzde Hesaplama ve Veri Yorumlama,Analiz,4,Sütun Grafik,Sütun Grafik (Yüzde) → Sayısal Hesaplama,Yüzde hesaplama | Oran-orantı | Toplama | Grafik okuma,Oran-orantı kurma | Yüzde hesaplama | Veri yorumlama,Bir marangoz atölyesinde ürün çeşitlerinin aylık üretim oranları,2022,A,images/veri_analizi_8.png,96,64,11,8,8.727272727272727,8.0,4,3,3,2,2
S09-2020-VeriAnalizi,Veri Analizi,Çizgi Grafik ve Yüzdelik Dağılım Yorumu,Çizgi grafiğinde verilen verileri kullanarak yüzdelik oranlar üzerinden doğru ve yanlış çıkarımlarda bulunur.,Veri Yorumlama ve Yüzde Hesaplama,Analiz,4,Çizgi Grafik,Çizgi Grafik → Oran/Yüzde Yorumu,Yüzde hesaplama | Toplama | Oran-orantı | Grafik okuma,Yüzde bulma | Veri analizi | Grafik yorumlama | Kıyaslama,Matematik sınavına katılan öğrencilerin puan dağılımları,2020,B,images/veri_analizi_9.png,109,56,13,6,8.384615384615385,9.333333333333334,4,4,3,2,2
S10-2019-VeriAnalizi,Veri Analizi,Grafikler Arası Veri Karşılaştırma (Daire + Sütun),"Birden fazla grafik türü arasında veri ilişkilerini kurar, yorum yapar ve karşılaştırma sonucuna ulaşır.",Karma Veri Yorumlama ve Karşılaştırma,Analiz,5,Daire + Sütun Grafik,Daire Grafik + Sütun Grafik → Karşılaştırmalı Yorum,Yüzde hesaplama | Toplama | Oran-orantı | Grafik okuma,Veri karşılaştırma | Yüzde bulma | Grafik yorumlama | Mantıksal analiz,Bir sınıfta iki sınavın sonuçlarının karşılaştırılması,2019,A,images/veri_analizi_10.png,104,54,14,6,7.428571428571429,9.0,4,4,3,3,2
S11-2022-VeriAnalizi,Veri Analizi,Sütun Grafiği Yorumlama,Sütun grafiğini yorumlar ve verileri kullanarak yüzde hesaplamaları yapar.,Veri Yorumlama ve Yüzde Hesaplama,Uygulama,2,Sütun Grafik,Not dağılımı,Yüzde hesaplama | Oran-orantı | Toplama,Yüzde bulma | Oran kurma | Veri okuma,Sınıf içi başarı analizi,2022,D,images/veri_analizi_11.png,74,24,9,4,8.222222222222221,6.0,3,3,2,2,1
S12-2024-VeriAnalizi,Veri Analizi,Tablo Yorumlama,"Verilen tabloyu yorumlar, oran-orantı kullanarak farklı durumlara ilişkin sonuçlar çıkarır.",Veri Yorumlama ve Oran-Orantı Uygulama,Uygulama,2,Tablo,Tablo → Oran Hesaplama,Oran-orantı | Doğru orantı | Temel işlem becerileri,Oran kurma | Orantı çözme | Çarpma-bölme işlemleri,Tarım ürünlerinin üretim miktarları,2024,C,images/veri_analizi_12.png,91,35,10,4,9.1,8.75,3,3,2,2,2
S13-2021-VeriAnalizi,Veri Analizi,Tablo Verisine Dayalı Akıl Yürütme,Tabloda verilen verilerden yararlanarak orantısal çıkarımlar yapar ve uygun olmayan sonucu belirler.,Veri Yorumlama ve Akıl Yürütme,Analiz,3,Metin (Tabloya Bağlı Soru),Tablo Verisi → Seçenek Karşılaştırma,Oran-orantı | Doğru orantı | Birim analiz,Oran kurma | Orantı çözme | Karşılaştırma yapma,Tarım ürünlerinin üretim oranları üzerinden karşılaştırma,2021,B,images/veri_analizi_13.png,100,57,12,6,8.333333333333334,9.5,3,3,3,2,2
S14-2022-VeriAnalizi,Veri Analizi,Tablo Yorumlama ve En-Az/En-Çok Problemleri,"Verilen tabloyu yorumlar, olası durumları analiz eder ve en az–en çok gibi durumlara ilişkin çıkarımlar yapar.",Veri Yorumlama ve Mantıksal Akıl Yürütme,Analiz,3,Tablo,Tablo → Mantıksal Çıkarım,Toplama | Oran-orantı | En az–en çok analizi,Veri okuma | Karşılaştırma | Akıl yürütme,Günlük yaşam – otobüs servisi ikram analizi,2022,A,images/veri_analizi_14.png,110,43,16,7,6.875,6.142857142857143,3,3,3,2,2
S15-2023-VeriAnalizi,Veri Analizi,Daire Grafik Yorumlama,"Daire grafiğini yorumlar, merkez açı ve yüzde arasındaki ilişkiyi kullanarak veriler arasında bağlantı kurar.",Veri Yorumlama ve Hesaplama,Uygulama,2,Daire Grafik,Merkez Açı → Alan Hesaplama,Yüzde hesaplama | Merkez açı–oran ilişkisi | Çarpma-bölme işlemleri,Oran kurma | Yüzdeyi alana dönüştürme | Veri okuma,Tarım ürünleri – ekim alanı dağılımı,2023,B,images/veri_analizi_15.png,109,36,14,6,7.785714285714286,6.0,3,3,2,2,2
S16-2022-VeriAnalizi,Veri Analizi,Daire Grafik Yorumlama,Daire grafiğini yorumlar ve farklı veriler arasındaki farkı merkez açı veya oran üzerinden hesaplar.,Veri Yorumlama ve Karşılaştırma,Uygulama,2,Daire Grafik (Metin Bağımlı),Merkez Açı → Fark Hesaplama,Oran-orantı | Yüzde hesaplama | Merkez açı–alan ilişkisi,Oran kurma | Çıkarma | Veri karşılaştırma,Tarım ürünleri – ekim alanı farkı analizi,2022,D,images/veri_analizi_16.png,100,41,14,7,7.142857142857143,5.857142857142857,3,3,2,2,2
S17-2020-VeriAnalizi,Veri Analizi,Grafik Türleri Arası Dönüşüm,Daire grafiğinde verilen verileri sütun grafiğine dönüştürür ve uygun grafiği seçer.,Grafik Dönüştürme ve Karşılaştırma,Uygulama,2,Daire + Sütun Grafik,Daire → Sütun,Oran-orantı | Açı–oran ilişkisi | Grafik okuma,Oran kurma | Veri dönüştürme | Karşılaştırma,Okul istatistiği – öğrenci dağılımı,2020,B,images/veri_analizi_17.png,84,35,11,5,7.636363636363637,7.0,3,3,2,3,2
S18-2022-VeriAnalizi,Veri Analizi,Grafik Türleri Arası Dönüşüm,Sütun grafiğinde verilen verileri daire grafiğine dönüştürür ve doğru grafiği belirler.,Grafik Dönüştürme ve Karşılaştırma,Uygulama,2,Sütun + Daire Grafik,Sütun → Daire,Yüzde hesaplama | Merkez açı–oran ilişkisi | Oran-orantı,Oran kurma | Oranları açılara dönüştürme | Grafik okuma,Kütüphane kitap türü dağılımı,2022,D,images/veri_analizi_18.png,87,29,11,4,7.909090909090909,7.25,3,3,2,3,2
S19-2023-VeriAnalizi,Veri Analizi,Sütun Grafiğini Daire Grafiğe Dönüştürme,Sütun grafiğinde verilen verileri daire grafiğine dönüştürür ve merkez açı hesaplaması yapar.,Grafik Dönüştürme ve Oran Hesaplama,Uygulama,2,Sütun Grafik,Sütun → Daire,Oran-orantı | Merkez açı–oran ilişkisi | Toplama işlemi,Oran kurma | Açı hesaplama | Veri okuma,Meyve ağaçlarının sayısal dağılımı,2023,D,images/veri_analizi_19.png,93,34,12,4,7.75,8.5,3,3,2,2,2
S20-2018-VeriAnalizi,Veri Analizi,Tablodan Daire Grafik Oluşturma,Verilen tablo verilerini daire grafiğine dönüştürür ve merkez açı hesaplaması yapar.,Tablo Yorumlama ve Oran Hesaplama,Uygulama,2,Tablo,Tablo → Daire Grafik,Yüzde hesaplama | Oran-orantı | Merkez açı–oran ilişkisi,Oran kurma | Açı hesaplama | Toplama,Bireysel çalışma verisi – çözülen soru sayıları,2018,A,images/veri_analizi_20.png,84,47,11,7,7.636363636363637,6.714285714285714,3,3,2,2,2
S21-2022-VeriAnalizi,Veri Analizi,Daire Grafik Yorumlama,Daire grafiğini yorumlar ve verilen verilerle ilişkilendirir.,Veri Yorumlama,Uygulama,2,Daire Grafik,Grafik → Tablo,Yüzde hesaplama | Oran-orantı | Grafik okuma,Toplama | Orantı kurma | Veri karşılaştırma,Günlük yaşam – içecek tercihi anketi,2022,D,images/veri_analizi_21.png,61,36,7,6,8.714285714285714,6.0,3,3,2,2,2
S22-2020-VeriAnalizi,Veri Analizi,Tablo - Grafik Eşleştirme,"Verilen tablo ve grafik verilerini karşılaştırır, uygun ilişkiyi belirler.",Veri Yorumlama ve Eşleştirme,Analiz,3,Tablo + Daire Grafik,Tablo → Daire Grafik,Toplama | Yüzde hesaplama | Oran-orantı,Veri karşılaştırma | Oran kurma | Yorumlama,Günlük yaşam – ürün satış miktarları,2020,D,images/veri_analizi_22.png,74,36,9,6,8.222222222222221,6.0,3,3,3,3,2
S23-2019-VeriAnalizi,Veri Analizi,Grafik Türleri Arası Dönüşüm,"Farklı grafik türlerini (çizgi, sütun, daire) yorumlar ve aralarındaki ilişkiyi kurar.",Grafik Dönüştürme ve Karşılaştırma,Analiz,3,Çizgi + Daire Grafik,Çizgi → Daire,Oran-orantı | Yüzde hesaplama | Grafik okuma,Oran kurma | Toplama | Veri karşılaştırma,Firma gelir analizi (ekonomi verisi),2019,D,images/veri_analizi_23.png,86,36,11,5,7.818181818181818,7.2,3,3,3,3,2
S24-2021-VeriAnalizi,Veri Analizi,Grafik Türleri Arası Dönüşüm,"Daire ve sütun grafiği arasında ilişki kurar, bir grafik türündeki veriyi diğerine dönüştürür.",Grafik Dönüştürme ve Yorumlama,Uygulama,2,Daire + Sütun Grafik,Daire → Sütun,Oran-orantı | Yüzde hesaplama | Grafik okuma,Oran kurma | Toplama | Veri dönüştürme,Günlük yaşam – satış miktarı analizi,2021,C,images/veri_analizi_24.png,94,36,13,6,7.230769230769231,6.0,3,3,2,3,2
S25-2023-VeriAnalizi,Veri Analizi,Yüzde Verilerinden Grafik Oluşturma,Verilen yüzdeleri kullanarak daire grafiği oluşturur ve yorumlar.,Yüzde - Daire Grafik Eşleştirme,Uygulama,2,Daire Grafik,Yüzde → Daire Grafik,Yüzde hesaplama | Merkez açı hesaplama | Oran-orantı,Oran kurma | Yüzdeleri açılara dönüştürme | Veri yorumlama,Okul anketi – gezi tercihleri,2023,C,images/veri_analizi_25.png,65,29,8,5,8.125,5.8,3,3,2,2,2
S26-2024-VeriAnalizi,Veri Analizi,Grafik Dönüştürme,Sütun ve daire grafiğini yorumlar ve dönüştürür.,Yorumlama ve Dönüştürme,Uygulama,2,Sütun + Daire Grafik,Sütun → Daire,Yüzde hesaplama | Merkez açı hesaplama | Oran-orantı,Toplama | Oran | Orantı,Tarım ürünleri,2024,B,images/veri_analizi_26.png,48,14,7,2,6.857142857142857,7.0,3,3,2,3,2
S27-2022-VeriAnalizi,Veri Analizi,Yüzde - Açı Dönüşümü,Yüzdeleri daire grafiğinde merkez açıyla ilişkilendirir ve hesaplar.,Yüzde - Açı Hesaplama,Uygulama,1,Metin,Yüzde → Açı,Yüzde hesaplama | Açı hesaplama | Oran-orantı,Yüzdeyi dereceye çevirme | Oran kurma | Hesaplama,"Coğrafi alan dağılımı – yerleşim, ekili, orman, bozkır",2022,C,images/veri_analizi_27.png,68,54,8,8,8.5,6.75,3,3,2,1,2
S28-2022-VeriAnalizi,Veri Analizi,Daire Grafiğinde Orantısal İlişki Kurma,Daire grafiğinde verilen merkez açı ve oranları kullanarak nicel ilişki kurar.,Oran - Açı - Alan İlişkisi,Uygulama,2,Daire Grafik,Açı → Oran → Nicel Değer,Oran-orantı | Açı hesaplama | Daire grafiği yorumlama,Oran kurma | Çarpma | Açı - alan ilişkisi,Tarım alanı – ekili ürün oranları,2022,C,images/veri_analizi_28.png,78,33,11,6,7.090909090909091,5.5,3,3,2,2,3
S29-2018-VeriAnalizi,Veri Analizi,Veri - Açı Dönüşümü,"Verilen nicel verileri (ör. kg, adet) daire grafiğinde merkez açıyla ilişkilendirir.",Veri - Açı Hesaplama,Uygulama,2,Metin,Veri (kg) → Açı,Oran-orantı | Açı hesaplama | Toplama,Oran kurma | Açı hesaplama | Yüzde dönüşümü,Günlük yaşam – elma satış miktarı analizi,2018,C,images/veri_analizi_29.png,84,41,11,7,7.636363636363637,5.857142857142857,3,3,2,1,2
S30-2025-VeriAnalizi,Veri Analizi,Çoklu Veri Kaynaklarının Grafikleştirilmesi,Birden fazla veri grubundaki bilgileri birleştirerek uygun grafik türünü oluşturur ve yorumlar.,Grafik Dönüştürme ve Yorumlama,Analiz,3,Sütun + Daire Grafik,Sütun (2 veri seti) → Daire,Toplama | Oran-orantı | Grafik okuma,Veri birleştirme | Oran hesaplama | Açı yorumlama,Okul yaşamı – kitap türleri istatistiği,2025,D,images/veri_analizi_30.png,95,39,12,6,7.916666666666667,6.5,3,3,3,3,2
